Algorithm;LoadFactor;Trial;OpType;AvgTimeNs;AvgProbes
RobinHood;0,80;21;ClusteredSearch;19;2,14
RobinHood;0,80;22;Insert;70;0,59
RobinHood;0,80;22;Search;47;2,40
RobinHood;0,80;22;ClusteredSearch;17;2,17
RobinHood;0,80;23;Insert;39;0,58
RobinHood;0,80;23;Search;47;2,39
RobinHood;0,80;23;ClusteredSearch;18;2,06
RobinHood;0,80;24;Insert;40;0,60
RobinHood;0,80;24;Search;47;2,45
RobinHood;0,80;24;ClusteredSearch;20;2,70
RobinHood;0,80;25;Insert;40;0,59
RobinHood;0,80;25;Search;43;2,34
RobinHood;0,80;25;ClusteredSearch;17;2,68
RobinHood;0,80;26;Insert;41;0,58
RobinHood;0,80;26;Search;39;2,43
RobinHood;0,80;26;ClusteredSearch;18;2,42
RobinHood;0,80;27;Insert;40;0,59
RobinHood;0,80;27;Search;116;2,41
RobinHood;0,80;27;ClusteredSearch;52;2,59
RobinHood;0,80;28;Insert;66;0,58
RobinHood;0,80;28;Search;47;2,45
RobinHood;0,80;28;ClusteredSearch;27;5,24
RobinHood;0,80;29;Insert;40;0,58
RobinHood;0,80;29;Search;39;2,34
RobinHood;0,80;29;ClusteredSearch;16;1,78
RobinHood;0,80;30;Insert;39;0,59
RobinHood;0,80;30;Search;42;2,41
RobinHood;0,80;30;ClusteredSearch;16;1,67
LinearProbing;0,90;1;Insert;59;4,43
LinearProbing;0,90;1;Search;327;48,15
LinearProbing;0,90;1;ClusteredSearch;592;53,05
LinearProbing;0,90;2;Insert;46;4,40
LinearProbing;0,90;2;Search;572;53,54
LinearProbing;0,90;2;ClusteredSearch;196;32,40
LinearProbing;0,90;3;Insert;59;4,28
LinearProbing;0,90;3;Search;393;45,32
LinearProbing;0,90;3;ClusteredSearch;288;18,35
LinearProbing;0,90;4;Insert;109;4,62
LinearProbing;0,90;4;Search;683;53,61
LinearProbing;0,90;4;ClusteredSearch;293;48,87
LinearProbing;0,90;5;Insert;81;4,69
LinearProbing;0,90;5;Search;590;55,53
LinearProbing;0,90;5;ClusteredSearch;83;9,74
LinearProbing;0,90;6;Insert;65;4,53
LinearProbing;0,90;6;Search;373;47,77
LinearProbing;0,90;6;ClusteredSearch;315;21,83
LinearProbing;0,90;7;Insert;70;4,39
LinearProbing;0,90;7;Search;305;48,53
LinearProbing;0,90;7;ClusteredSearch;441;69,16
LinearProbing;0,90;8;Insert;69;4,63
LinearProbing;0,90;8;Search;420;51,61
LinearProbing;0,90;8;ClusteredSearch;166;27,41
LinearProbing;0,90;9;Insert;70;4,59
LinearProbing;0,90;9;Search;478;53,98
LinearProbing;0,90;9;ClusteredSearch;310;51,81
LinearProbing;0,90;10;Insert;65;4,64
LinearProbing;0,90;10;Search;337;53,04
LinearProbing;0,90;10;ClusteredSearch;253;41,11
LinearProbing;0,90;11;Insert;43;4,34
LinearProbing;0,90;11;Search;457;46,86
LinearProbing;0,90;11;ClusteredSearch;195;32,35
LinearProbing;0,90;12;Insert;46;4,35
LinearProbing;0,90;12;Search;291;45,63
LinearProbing;0,90;12;ClusteredSearch;182;30,09
LinearProbing;0,90;13;Insert;50;4,34
LinearProbing;0,90;13;Search;430;47,92
LinearProbing;0,90;13;ClusteredSearch;494;83,97
LinearProbing;0,90;14;Insert;50;4,59
LinearProbing;0,90;14;Search;311;48,63
LinearProbing;0,90;14;ClusteredSearch;189;29,62
LinearProbing;0,90;15;Insert;54;4,31
LinearProbing;0,90;15;Search;424;47,07
LinearProbing;0,90;15;ClusteredSearch;274;30,55
LinearProbing;0,90;16;Insert;55;4,50
LinearProbing;0,90;16;Search;351;47,97
